035XX W LEXINGTON ST,275
048XX W GLADYS AVE,275
070XX S MERRILL AVE,275
080XX S INGLESIDE AVE,275
002XX N LAVERGNE AVE,274
006XX N ST CLAIR ST,274
032XX W DOUGLAS BLVD,274
075XX S COLFAX AVE,274
079XX S DREXEL AVE,274
079XX S MARYLAND AVE,274
012XX N ASHLAND AVE,273
022XX W DIVISION ST,273
033XX W OGDEN AVE,273
039XX W WILCOX ST,273
0000X E WASHINGTON ST,272
011XX N KEYSTONE AVE,272
079XX S ELLIS AVE,272
032XX N CLARK ST,271
036XX W FLOURNOY ST,271
054XX S DAMEN AVE,271
070XX S CLYDE AVE,271
0000X N LECLAIRE AVE,270
013XX N SEDGWICK ST,270
013XX W WASHBURNE AVE,270
014XX S HOMAN AVE,270
015XX S KEDZIE AVE,270
030XX N MOBILE AVE,270
098XX S HALSTED ST,270
001XX W CERMAK RD,269
002XX N LA SALLE ST,269
034XX W ROOSEVELT RD,269
036XX W DIVISION ST,269
054XX S HALSTED ST,269
055XX W CONGRESS PKWY,269
074XX N CLARK ST,269
079XX S STATE ST,269
0000X E OAK ST,268
001XX N WABASH AVE,268
013XX S CHRISTIANA AVE,268
032XX N BROADWAY,268
035XX S DR MARTIN LUTHER KING JR DR,268
036XX N CLARK ST,268
048XX S DREXEL BLVD,268
075XX S STEWART AVE,268
087XX S COTTAGE GROVE AVE,268
132XX S LANGLEY AVE,268
0000X E OHIO ST,267
009XX E 104TH ST,267
014XX W 47TH ST,267
069XX S CRANDON AVE,267
023XX E 70TH ST,266
032XX W ADAMS ST,266
054XX W CHICAGO AVE,266
056XX S MICHIGAN AVE,266
062XX S ARTESIAN AVE,266
073XX S EXCHANGE AVE,266
075XX S ESSEX AVE,266
078XX S YATES BLVD,266
081XX S COTTAGE GROVE AVE,266
0000X W CHECKPOINT 5 ST,265
008XX W NORTH AVE,265
020XX S MICHIGAN AVE,265
021XX N ELSTON AVE,265
042XX W JACKSON BLVD,265
051XX S WENTWORTH AVE,265
006XX W 63RD ST,264
034XX W DOUGLAS BLVD,264
060XX S INDIANA AVE,264
081XX S ASHLAND AVE,264
095XX S STATE ST,264
001XX S KENTON AVE,263
010XX N MONTICELLO AVE,263
035XX W GRENSHAW ST,263
056XX S DR MARTIN LUTHER KING JR DR,263
061XX S ASHLAND AVE,263
076XX S SOUTH SHORE DR,263
079XX S VINCENNES AVE,263
0000X E ONTARIO ST,262
001XX N LARAMIE AVE,262
001XX W RANDOLPH ST,262
002XX E 121ST PL,262
027XX N MILWAUKEE AVE,262
042XX S MICHIGAN AVE,262
007XX S MICHIGAN AVE,261
022XX W JACKSON BLVD,261
037XX N CLARK ST,261
039XX W DIVISION ST,261
057XX N SHERIDAN RD,261
061XX S ROCKWELL ST,261
005XX N CENTRAL AVE,260
039XX S LAKE PARK AVE,260
047XX N SHERIDAN RD,260
050XX N WINTHROP AVE,260
055XX W MONROE ST,260
063XX S STONY ISLAND AVE,260
002XX S WACKER DR,259
011XX N MILWAUKEE AVE,259
078XX S WESTERN AVE,259
001XX E 51ST ST,258
008XX N KEDZIE AVE,258
028XX W MADISON ST,258
036XX S LAKE PARK AVE,258
049XX S WABASH AVE,258
001XX N KEDZIE AVE,257
002XX E RANDOLPH ST,257
016XX E 95TH ST,257
047XX W NORTH AVE,257
077XX S ESSEX AVE,257
088XX S ESCANABA AVE,257
007XX S CALIFORNIA AVE,256
011XX W 63RD ST,256
011XX W JACKSON BLVD,256
050XX W ADAMS ST,256
045XX W MONROE ST,255
058XX N SHERIDAN RD,255
063XX S WESTERN AVE,255
065XX S COTTAGE GROVE AVE,255
007XX N PULASKI RD,254
017XX W 18TH ST,254
043XX W WILCOX ST,254
050XX W CHICAGO AVE,254
054XX S LAFLIN ST,254
010XX N SPRINGFIELD AVE,253
012XX W 87TH ST,253
043XX N SHERIDAN RD,253
071XX S HALSTED ST,252
075XX S SOUTH SHORE DR,252
078XX S COLES AVE,252
110XX S VERNON AVE,252
0000X S WABASH AVE,251
003XX N HALSTED ST,251
003XX W 64TH ST,251
009XX W NORTH AVE,251
020XX N ORCHARD ST,251
033XX W VAN BUREN ST,251
035XX W DOUGLAS BLVD,251
045XX S DAMEN AVE,251
052XX N BROADWAY,251
080XX S ASHLAND AVE,251
008XX W GARFIELD BLVD,250
016XX W JONQUIL TER,250
020XX W DIVISION ST,250
022XX E 103RD ST,250
082XX S COTTAGE GROVE AVE,250
037XX W LEXINGTON ST,249
045XX N CLARENDON AVE,249
048XX W WASHINGTON BLVD,249
051XX S INDIANA AVE,249
065XX S LAFLIN ST,249
087XX S ESCANABA AVE,249
012XX S KOLIN AVE,248
027XX S STATE ST,248
027XX W HARRISON ST,248
028XX N BROADWAY,248
051XX W WASHINGTON BLVD,248
067XX S COTTAGE GROVE AVE,248
087XX S EXCHANGE AVE,248
0000X W CHECKPOINT 7 ST,247
003XX E 75TH ST,247
016XX W GRAND AVE,247
025XX E 79TH ST,247
026XX N MILWAUKEE AVE,247
028XX N MILWAUKEE AVE,247
046XX N CLIFTON AVE,247
066XX S DREXEL AVE,247
068XX S EAST END AVE,247
0000X E WACKER DR,246
013XX N PULASKI RD,246
021XX S ARCHER AVE,246
048XX N BROADWAY,246
058XX S WABASH AVE,246
064XX N SHERIDAN RD,246
078XX S KINGSTON AVE,246
0000X N HALSTED ST,245
006XX N FRANKLIN ST,245
012XX W ROOSEVELT RD,245
027XX W LEXINGTON ST,245
029XX W 63RD ST,245
031XX S KOSTNER AVE,245
048XX S ASHLAND AVE,245
052XX W JACKSON BLVD,245
001XX W ADAMS ST,244
001XX W KINZIE ST,244
005XX E 47TH ST,244
007XX N CHRISTIANA AVE,244
008XX W 87TH ST,244
015XX E 55TH ST,244
